"House Price Index by region; existing own homes; 2010 = 100 1995-2017"
"";"Subjects";"Price index purchase prices";"Price index purchase prices";"Price index purchase prices";"Number of sold dwellings";"Number of sold dwellings";"Number of sold dwellings"
"";"Subjects";"Price index of existing own homes";"Changes compared to one period earlier";"Changes compared to one year earlier";"Number of dwellings sold";"Changes compared to one period earlier";"Changes compared to one year earlier"
"Regions";"Periods";"2010 = 100";"%";"%";"number";"%";"%"
"Friesland (PV)";"2001 4th quarter";"76.1";"1.6";"11.9";"2324";"10.8";"1.6"
"Friesland (PV)";"2001";"73.7";"13.3";"13.3";"7963";"5.1";"5.1"
"Friesland (PV)";"2002 1st quarter";"77.0";"1.1";"8.6";"1783";"-23.3";"18.0"
"Friesland (PV)";"2002 2nd quarter";"78.1";"1.4";"7.3";"1992";"11.7";"-1.9"
"Friesland (PV)";"2002 3rd quarter";"80.0";"2.4";"6.8";"2065";"3.7";"-1.6"
"Friesland (PV)";"2002 4th quarter";"79.7";"-0.4";"4.7";"2034";"-1.5";"-12.5"
"Friesland (PV)";"2002";"78.7";"6.8";"6.8";"7874";"-1.1";"-1.1"
"Friesland (PV)";"2003 1st quarter";"82.7";"3.8";"7.4";"1568";"-22.9";"-12.1"
"Friesland (PV)";"2003 2nd quarter";"84.3";"1.9";"7.9";"1866";"19.0";"-6.3"
"Friesland (PV)";"2003 3rd quarter";"83.5";"-0.9";"4.4";"2275";"21.9";"10.2"
"Friesland (PV)";"2003 4th quarter";"85.9";"2.9";"7.8";"2283";"0.4";"12.2"
"Friesland (PV)";"2003";"84.1";"6.9";"6.9";"7992";"1.5";"1.5"
"Friesland (PV)";"2004 1st quarter";"87.0";"1.3";"5.2";"1452";"-36.4";"-7.4"
"Friesland (PV)";"2004 2nd quarter";"88.6";"1.9";"5.1";"1936";"33.3";"3.8"
"Friesland (PV)";"2004 3rd quarter";"90.6";"2.2";"8.4";"2061";"6.5";"-9.4"
"Friesland (PV)";"2004 4th quarter";"91.3";"0.8";"6.3";"2256";"9.5";"-1.2"
"Friesland (PV)";"2004";"89.4";"6.3";"6.3";"7705";"-3.6";"-3.6"
"Friesland (PV)";"2005 1st quarter";"91.6";"0.4";"5.3";"1587";"-29.7";"9.3"
"Friesland (PV)";"2005 2nd quarter";"93.2";"1.7";"5.1";"1997";"25.8";"3.2"
"Friesland (PV)";"2005 3rd quarter";"95.0";"2.0";"5.0";"2090";"4.7";"1.4"
"Friesland (PV)";"2005 4th quarter";"95.2";"0.1";"4.3";"2304";"10.2";"2.1"
"Friesland (PV)";"2005";"93.7";"4.9";"4.9";"7978";"3.5";"3.5"
"Friesland (PV)";"2006 1st quarter";"97.4";"2.3";"6.3";"1813";"-21.3";"14.2"
"Friesland (PV)";"2006 2nd quarter";"98.6";"1.2";"5.8";"2119";"16.9";"6.1"
"Friesland (PV)";"2006 3rd quarter";"99.6";"1.0";"4.7";"2107";"-0.6";"0.8"
"Friesland (PV)";"2006 4th quarter";"100.6";"1.1";"5.7";"2115";"0.4";"-8.2"
"Friesland (PV)";"2006";"99.0";"5.6";"5.6";"8154";"2.2";"2.2"
"Friesland (PV)";"2007 1st quarter";"101.3";"0.6";"4.0";"1669";"-21.1";"-7.9"
"Friesland (PV)";"2007 2nd quarter";"102.8";"1.5";"4.3";"1906";"14.2";"-10.1"
"Friesland (PV)";"2007 3rd quarter";"103.2";"0.4";"3.7";"2032";"6.6";"-3.6"
"Friesland (PV)";"2007 4th quarter";"103.0";"-0.2";"2.4";"2145";"5.6";"1.4"
"Friesland (PV)";"2007";"102.6";"3.6";"3.6";"7752";"-4.9";"-4.9"
"Friesland (PV)";"2008 1st quarter";"105.4";"2.3";"4.1";"1530";"-28.7";"-8.3"
"Friesland (PV)";"2008 2nd quarter";"104.7";"-0.7";"1.8";"1781";"16.4";"-6.6"
"Friesland (PV)";"2008 3rd quarter";"105.2";"0.4";"1.9";"1685";"-5.4";"-17.1"
"Friesland (PV)";"2008 4th quarter";"105.2";"0.0";"2.1";"1671";"-0.8";"-22.1"
"Friesland (PV)";"2008";"105.1";"2.5";"2.5";"6667";"-14.0";"-14.0"
"Friesland (PV)";"2009 1st quarter";"102.8";"-2.2";"-2.5";"949";"-43.2";"-38.0"
"Friesland (PV)";"2009 2nd quarter";"100.3";"-2.5";"-4.2";"1119";"17.9";"-37.2"
"Friesland (PV)";"2009 3rd quarter";"99.8";"-0.5";"-5.1";"1246";"11.3";"-26.1"
"Friesland (PV)";"2009 4th quarter";"99.4";"-0.4";"-5.5";"1320";"5.9";"-21.0"
"Friesland (PV)";"2009";"100.6";"-4.3";"-4.3";"4634";"-30.5";"-30.5"
"Friesland (PV)";"2010 1st quarter";"100.6";"1.1";"-2.2";"1004";"-23.9";"5.8"
"Friesland (PV)";"2010 2nd quarter";"100.2";"-0.4";"-0.1";"1212";"20.7";"8.3"
"Friesland (PV)";"2010 3rd quarter";"100.4";"0.3";"0.6";"1149";"-5.2";"-7.8"
"Friesland (PV)";"2010 4th quarter";"98.8";"-1.6";"-0.6";"1355";"17.9";"2.7"
"Friesland (PV)";"2010";"100.0";"-0.6";"-0.6";"4720";"1.9";"1.9"
"Friesland (PV)";"2011 1st quarter";"96.9";"-2.0";"-3.7";"1029";"-24.1";"2.5"
"Friesland (PV)";"2011 2nd quarter";"96.3";"-0.6";"-3.9";"1089";"5.8";"-10.1"
"Friesland (PV)";"2011 3rd quarter";"96.1";"-0.2";"-4.3";"1151";"5.7";"0.2"
"Friesland (PV)";"2011 4th quarter";"93.5";"-2.7";"-5.4";"1096";"-4.8";"-19.1"
"Friesland (PV)";"2011";"95.7";"-4.3";"-4.3";"4365";"-7.5";"-7.5"
"Friesland (PV)";"2012 1st quarter";"92.1";"-1.5";"-4.9";"792";"-27.7";"-23.0"
"Friesland (PV)";"2012 2nd quarter";"91.7";"-0.4";"-4.8";"1174";"48.2";"7.8"
"Friesland (PV)";"2012 3rd quarter";"87.9";"-4.1";"-8.5";"829";"-29.4";"-28.0"
"Friesland (PV)";"2012 4th quarter";"86.4";"-1.7";"-7.6";"1236";"49.1";"12.8"
"Friesland (PV)";"2012";"89.6";"-6.4";"-6.4";"4031";"-7.7";"-7.7"
"Friesland (PV)";"2013 1st quarter";"84.9";"-1.8";"-7.9";"765";"-38.1";"-3.4"
"Friesland (PV)";"2013 2nd quarter";"81.7";"-3.7";"-10.9";"829";"8.4";"-29.4"
"Friesland (PV)";"2013 3rd quarter";"82.6";"1.2";"-6.0";"926";"11.7";"11.7"
"Friesland (PV)";"2013 4th quarter";"83.1";"0.5";"-3.9";"1358";"46.7";"9.9"
"Friesland (PV)";"2013";"83.1";"-7.2";"-7.2";"3878";"-3.8";"-3.8"
"Friesland (PV)";"2014 1st quarter";"82.0";"-1.3";"-3.4";"1023";"-24.7";"33.7"
"Friesland (PV)";"2014 2nd quarter";"82.4";"0.5";"0.8";"1314";"28.4";"58.5"
"Friesland (PV)";"2014 3rd quarter";"81.9";"-0.6";"-0.9";"1293";"-1.6";"39.6"
"Friesland (PV)";"2014 4th quarter";"82.0";"0.1";"-1.2";"1813";"40.2";"33.5"
"Friesland (PV)";"2014";"82.1";"-1.2";"-1.2";"5443";"40.4";"40.4"
"Friesland (PV)";"2015 1st quarter";"83.0";"1.1";"1.2";"1130";"-37.7";"10.5"
"Friesland (PV)";"2015 2nd quarter";"83.3";"0.4";"1.1";"1479";"30.9";"12.6"
"Friesland (PV)";"2015 3rd quarter";"83.9";"0.7";"2.4";"1794";"21.3";"38.7"
"Friesland (PV)";"2015 4th quarter";"84.7";"1.0";"3.3";"1874";"4.5";"3.4"
"Friesland (PV)";"2015";"83.7";"2.0";"2.0";"6277";"15.3";"15.3"
"Friesland (PV)";"2016 1st quarter";"85.5";"0.9";"3.1";"1464";"-21.9";"29.6"
"Friesland (PV)";"2016 2nd quarter";"85.4";"-0.1";"2.6";"1847";"26.2";"24.9"
"Friesland (PV)";"2016 3rd quarter";"88.3";"3.3";"5.2";"2134";"15.5";"19.0"
"Friesland (PV)";"2016 4th quarter";"88.6";"0.4";"4.6";"2145";"0.5";"14.5"
"Friesland (PV)";"2016";"87.0";"3.9";"3.9";"7590";"20.9";"20.9"
"Friesland (PV)";"2017 1st quarter";"89.6";"1.1";"4.8";"1923";"-10.4";"31.4"
"Friesland (PV)";"2017 2nd quarter";"91.6";"2.3";"7.3";"2194";"14.1";"18.8"
"Friesland (PV)";"2017 3rd quarter";"93.2";"1.7";"5.6";"2280";"3.9";"6.8"
"Friesland (PV)";"2017 4th quarter";"94.3";"1.1";"6.4";"2580";"13.2";"20.3"
"Friesland (PV)";"2017";"92.2";"6.0";"6.0";"8977";"18.3";"18.3"
"Drenthe (PV)";"1995 1st quarter";"37.1";" ";" ";"918";" ";" "
"Drenthe (PV)";"1995 2nd quarter";"37.4";"0.8";" ";"1299";"41.5";" "
"Drenthe (PV)";"1995 3rd quarter";"38.5";"3.0";" ";"1377";"6.0";" "
"Drenthe (PV)";"1995 4th quarter";"39.2";"1.7";" ";"1476";"7.2";" "
"Drenthe (PV)";"1995";"38.0";" ";" ";"5070";" ";" "
"Drenthe (PV)";"1996 1st quarter";"39.9";"1.9";"7.6";"1228";"-16.8";"33.8"
"Drenthe (PV)";"1996 2nd quarter";"41.1";"3.0";"9.9";"1553";"26.5";"19.6"
"Drenthe (PV)";"1996 3rd quarter";"42.7";"3.8";"10.8";"1505";"-3.1";"9.3"
"Drenthe (PV)";"1996 4th quarter";"43.3";"1.5";"10.5";"1662";"10.4";"12.6"
"Drenthe (PV)";"1996";"41.7";"9.7";"9.7";"5948";"17.3";"17.3"
"Drenthe (PV)";"1997 1st quarter";"44.0";"1.7";"10.3";"1339";"-19.4";"9.0"
"Drenthe (PV)";"1997 2nd quarter";"45.1";"2.5";"9.8";"1975";"47.5";"27.2"
"Drenthe (PV)";"1997 3rd quarter";"46.6";"3.2";"9.1";"1768";"-10.5";"17.5"
"Drenthe (PV)";"1997 4th quarter";"47.1";"1.1";"8.7";"1894";"7.1";"14.0"
"Drenthe (PV)";"1997";"45.7";"9.5";"9.5";"6976";"17.3";"17.3"
"Drenthe (PV)";"1998 1st quarter";"48.0";"2.1";"9.1";"1429";"-24.6";"6.7"
"Drenthe (PV)";"1998 2nd quarter";"49.1";"2.2";"8.8";"1700";"19.0";"-13.9"
"Drenthe (PV)";"1998 3rd quarter";"50.7";"3.4";"9.0";"1775";"4.4";"0.4"
"Drenthe (PV)";"1998 4th quarter";"52.3";"3.1";"11.2";"1874";"5.6";"-1.1"
"Drenthe (PV)";"1998";"50.0";"9.5";"9.5";"6778";"-2.8";"-2.8"
"Drenthe (PV)";"1999 1st quarter";"54.1";"3.3";"12.5";"1459";"-22.1";"2.1"
"Drenthe (PV)";"1999 2nd quarter";"56.3";"4.1";"14.6";"1795";"23.0";"5.6"
"Drenthe (PV)";"1999 3rd quarter";"59.6";"6.0";"17.5";"1887";"5.1";"6.3"
"Drenthe (PV)";"1999 4th quarter";"62.8";"5.3";"20.0";"1887";"0.0";"0.7"
"Drenthe (PV)";"1999";"58.2";"16.3";"16.3";"7028";"3.7";"3.7"
"Drenthe (PV)";"2000 1st quarter";"65.0";"3.6";"20.3";"1389";"-26.4";"-4.8"
"Drenthe (PV)";"2000 2nd quarter";"68.5";"5.3";"21.8";"1708";"23.0";"-4.8"
"Drenthe (PV)";"2000 3rd quarter";"71.4";"4.2";"19.7";"1715";"0.4";"-9.1"
"Drenthe (PV)";"2000 4th quarter";"73.2";"2.6";"16.6";"1771";"3.3";"-6.1"
"Drenthe (PV)";"2000";"69.5";"19.5";"19.5";"6583";"-6.3";"-6.3"
"Drenthe (PV)";"2001 1st quarter";"75.3";"2.8";"15.7";"1201";"-32.2";"-13.5"
"Drenthe (PV)";"2001 2nd quarter";"78.0";"3.6";"13.8";"1560";"29.9";"-8.7"
"Drenthe (PV)";"2001 3rd quarter";"78.9";"1.2";"10.5";"1590";"1.9";"-7.3"
"Drenthe (PV)";"2001 4th quarter";"79.6";"0.9";"8.7";"1759";"10.6";"-0.7"
"Drenthe (PV)";"2001";"77.9";"12.1";"12.1";"6110";"-7.2";"-7.2"
"Drenthe (PV)";"2002 1st quarter";"80.7";"1.3";"7.2";"1417";"-19.4";"18.0"
"Drenthe (PV)";"2002 2nd quarter";"82.2";"1.9";"5.4";"1538";"8.5";"-1.4"
"Drenthe (PV)";"2002 3rd quarter";"83.6";"1.8";"6.0";"1579";"2.7";"-0.7"
"Drenthe (PV)";"2002 4th quarter";"83.9";"0.3";"5.4";"1599";"1.3";"-9.1"
"Drenthe (PV)";"2002";"82.6";"6.0";"6.0";"6133";"0.4";"0.4"
"Drenthe (PV)";"2003 1st quarter";"84.8";"1.0";"5.1";"1179";"-26.3";"-16.8"
"Drenthe (PV)";"2003 2nd quarter";"86.0";"1.5";"4.7";"1502";"27.4";"-2.3"
"Drenthe (PV)";"2003 3rd quarter";"86.5";"0.6";"3.4";"1452";"-3.3";"-8.0"
"Drenthe (PV)";"2003 4th quarter";"86.6";"0.1";"3.2";"1672";"15.2";"4.6"
"Drenthe (PV)";"2003";"86.0";"4.1";"4.1";"5805";"-5.3";"-5.3"
"Drenthe (PV)";"2004 1st quarter";"88.7";"2.5";"4.7";"1182";"-29.3";"0.3"
"Drenthe (PV)";"2004 2nd quarter";"89.2";"0.5";"3.6";"1514";"28.1";"0.8"
"Drenthe (PV)";"2004 3rd quarter";"90.9";"2.0";"5.1";"1420";"-6.2";"-2.2"
"Drenthe (PV)";"2004 4th quarter";"91.2";"0.4";"5.4";"1520";"7.0";"-9.1"
"Drenthe (PV)";"2004";"90.0";"4.7";"4.7";"5636";"-2.9";"-2.9"
"Drenthe (PV)";"2005 1st quarter";"92.2";"1.1";"3.9";"1196";"-21.3";"1.2"
"Drenthe (PV)";"2005 2nd quarter";"93.6";"1.4";"4.9";"1542";"28.9";"1.8"
"Drenthe (PV)";"2005 3rd quarter";"95.3";"1.9";"4.9";"1714";"11.2";"20.7"
"Drenthe (PV)";"2005 4th quarter";"95.6";"0.3";"4.8";"1698";"-0.9";"11.7"
"Drenthe (PV)";"2005";"94.2";"4.6";"4.6";"6150";"9.1";"9.1"
"Drenthe (PV)";"2006 1st quarter";"97.0";"1.5";"5.2";"1401";"-17.5";"17.1"
"Drenthe (PV)";"2006 2nd quarter";"98.3";"1.4";"5.1";"1555";"11.0";"0.8"
"Drenthe (PV)";"2006 3rd quarter";"99.4";"1.0";"4.2";"1641";"5.5";"-4.3"
"Drenthe (PV)";"2006 4th quarter";"99.9";"0.6";"4.5";"1599";"-2.6";"-5.8"
"Drenthe (PV)";"2006";"98.7";"4.8";"4.8";"6196";"0.7";"0.7"
"Drenthe (PV)";"2007 1st quarter";"101.8";"1.8";"4.9";"1200";"-25.0";"-14.3"
"Drenthe (PV)";"2007 2nd quarter";"102.8";"1.0";"4.5";"1457";"21.4";"-6.3"
"Drenthe (PV)";"2007 3rd quarter";"103.5";"0.7";"4.2";"1512";"3.8";"-7.9"
"Drenthe (PV)";"2007 4th quarter";"104.2";"0.7";"4.3";"1507";"-0.3";"-5.8"
"Drenthe (PV)";"2007";"103.0";"4.5";"4.5";"5676";"-8.4";"-8.4"
"Drenthe (PV)";"2008 1st quarter";"104.7";"0.5";"2.9";"1193";"-20.8";"-0.6"
"Drenthe (PV)";"2008 2nd quarter";"104.8";"0.1";"2.0";"1465";"22.8";"0.5"
"Drenthe (PV)";"2008 3rd quarter";"105.7";"0.8";"2.2";"1446";"-1.3";"-4.4"
"Drenthe (PV)";"2008 4th quarter";"104.9";"-0.7";"0.7";"1306";"-9.7";"-13.3"
"Drenthe (PV)";"2008";"105.1";"1.9";"1.9";"5410";"-4.7";"-4.7"
"Drenthe (PV)";"2009 1st quarter";"105.3";"0.4";"0.6";"829";"-36.5";"-30.5"
"Drenthe (PV)";"2009 2nd quarter";"102.2";"-3.0";"-2.5";"933";"12.5";"-36.3"
"Drenthe (PV)";"2009 3rd quarter";"100.8";"-1.3";"-4.6";"956";"2.5";"-33.9"
"Drenthe (PV)";"2009 4th quarter";"100.2";"-0.7";"-4.6";"1025";"7.2";"-21.5"
"Drenthe (PV)";"2009";"102.1";"-2.8";"-2.8";"3743";"-30.8";"-30.8"
"Drenthe (PV)";"2010 1st quarter";"100.2";"0.1";"-4.8";"732";"-28.6";"-11.7"
"Drenthe (PV)";"2010 2nd quarter";"100.7";"0.4";"-1.5";"977";"33.5";"4.7"
"Drenthe (PV)";"2010 3rd quarter";"100.5";"-0.2";"-0.4";"947";"-3.1";"-0.9"
"Drenthe (PV)";"2010 4th quarter";"98.6";"-1.8";"-1.5";"1007";"6.3";"-1.8"
"Drenthe (PV)";"2010";"100.0";"-2.1";"-2.1";"3663";"-2.1";"-2.1"
"Drenthe (PV)";"2011 1st quarter";"98.1";"-0.6";"-2.2";"807";"-19.9";"10.2"
"Drenthe (PV)";"2011 2nd quarter";"97.9";"-0.1";"-2.7";"829";"2.7";"-15.1"
"Drenthe (PV)";"2011 3rd quarter";"96.9";"-1.1";"-3.6";"855";"3.1";"-9.7"
"Drenthe (PV)";"2011 4th quarter";"96.3";"-0.5";"-2.3";"955";"11.7";"-5.2"
"Drenthe (PV)";"2011";"97.3";"-2.7";"-2.7";"3446";"-5.9";"-5.9"
"Drenthe (PV)";"2012 1st quarter";"95.9";"-0.5";"-2.2";"700";"-26.7";"-13.3"
"Drenthe (PV)";"2012 2nd quarter";"91.9";"-4.2";"-6.2";"966";"38.0";"16.5"
"Drenthe (PV)";"2012 3rd quarter";"90.3";"-1.7";"-6.8";"685";"-29.1";"-19.9"
"Drenthe (PV)";"2012 4th quarter";"88.9";"-1.6";"-7.8";"1034";"50.9";"8.3"
"Drenthe (PV)";"2012";"91.7";"-5.7";"-5.7";"3385";"-1.8";"-1.8"
"Drenthe (PV)";"2013 1st quarter";"85.9";"-3.3";"-10.4";"624";"-39.7";"-10.9"
"Drenthe (PV)";"2013 2nd quarter";"85.0";"-1.1";"-7.5";"688";"10.3";"-28.8"
"Drenthe (PV)";"2013 3rd quarter";"84.0";"-1.1";"-6.9";"936";"36.0";"36.6"
"Drenthe (PV)";"2013 4th quarter";"85.0";"1.1";"-4.3";"1016";"8.5";"-1.7"
"Drenthe (PV)";"2013";"85.0";"-7.3";"-7.3";"3264";"-3.6";"-3.6"
"Drenthe (PV)";"2014 1st quarter";"85.0";"0.0";"-1.0";"783";"-22.9";"25.5"
"Drenthe (PV)";"2014 2nd quarter";"84.4";"-0.7";"-0.7";"942";"20.3";"36.9"
"Drenthe (PV)";"2014 3rd quarter";"85.5";"1.2";"1.7";"1105";"17.3";"18.1"
"Drenthe (PV)";"2014 4th quarter";"84.3";"-1.4";"-0.9";"1378";"24.7";"35.6"
"Drenthe (PV)";"2014";"84.8";"-0.2";"-0.2";"4208";"28.9";"28.9"
"Drenthe (PV)";"2015 1st quarter";"85.9";"2.0";"1.1";"976";"-29.2";"24.6"
"Drenthe (PV)";"2015 2nd quarter";"85.4";"-0.6";"1.2";"1160";"18.9";"23.1"
"Drenthe (PV)";"2015 3rd quarter";"86.5";"1.2";"1.2";"1364";"17.6";"23.4"
"Drenthe (PV)";"2015 4th quarter";"86.6";"0.1";"2.8";"1511";"10.8";"9.7"
"Drenthe (PV)";"2015";"86.1";"1.6";"1.6";"5011";"19.1";"19.1"
"Drenthe (PV)";"2016 1st quarter";"86.2";"-0.5";"0.3";"1165";"-22.9";"19.4"
"Drenthe (PV)";"2016 2nd quarter";"87.3";"1.3";"2.2";"1493";"28.2";"28.7"
"Drenthe (PV)";"2016 3rd quarter";"88.8";"1.7";"2.6";"1680";"12.5";"23.2"
"Drenthe (PV)";"2016 4th quarter";"89.5";"0.8";"3.3";"1784";"6.2";"18.1"
"Drenthe (PV)";"2016";"87.9";"2.1";"2.1";"6122";"22.2";"22.2"
"Drenthe (PV)";"2017 1st quarter";"90.4";"1.0";"4.9";"1586";"-11.1";"36.1"
"Drenthe (PV)";"2017 2nd quarter";"91.9";"1.6";"5.2";"1788";"12.7";"19.8"
"Drenthe (PV)";"2017 3rd quarter";"93.6";"1.9";"5.4";"1964";"9.8";"16.9"
"Drenthe (PV)";"2017 4th quarter";"94.8";"1.3";"5.9";"2183";"11.2";"22.4"
"Drenthe (PV)";"2017";"92.6";"5.4";"5.4";"7521";"22.9";"22.9"
"Overijssel (PV)";"1995 1st quarter";"37.7";" ";" ";"1811";" ";" "
"Overijssel (PV)";"1995 2nd quarter";"37.3";"-0.9";" ";"2284";"26.1";" "
"Overijssel (PV)";"1995 3rd quarter";"38.4";"3.0";" ";"2620";"14.7";" "
"Overijssel (PV)";"1995 4th quarter";"39.3";"2.2";" ";"2871";"9.6";" "
"Overijssel (PV)";"1995";"38.2";" ";" ";"9586";" ";" "
"Overijssel (PV)";"1996 1st quarter";"40.1";"2.0";"6.4";"2227";"-22.4";"23.0"
"Overijssel (PV)";"1996 2nd quarter";"42.2";"5.2";"13.0";"2894";"30.0";"26.7"
"Overijssel (PV)";"1996 3rd quarter";"43.3";"2.6";"12.6";"3283";"13.4";"25.3"
"Overijssel (PV)";"1996 4th quarter";"44.6";"3.0";"13.5";"3227";"-1.7";"12.4"
"Overijssel (PV)";"1996";"42.5";"11.4";"11.4";"11631";"21.3";"21.3"
"Overijssel (PV)";"1997 1st quarter";"45.6";"2.4";"13.9";"2055";"-36.3";"-7.7"
"Overijssel (PV)";"1997 2nd quarter";"47.1";"3.3";"11.7";"2935";"42.8";"1.4"
"Overijssel (PV)";"1997 3rd quarter";"47.4";"0.6";"9.5";"3415";"16.4";"4.0"
"Overijssel (PV)";"1997 4th quarter";"49.0";"3.4";"9.9";"3552";"4.0";"10.1"
"Overijssel (PV)";"1997";"47.3";"11.2";"11.2";"11957";"2.8";"2.8"
"Overijssel (PV)";"1998 1st quarter";"49.5";"1.1";"8.6";"2535";"-28.6";"23.4"
"Overijssel (PV)";"1998 2nd quarter";"50.7";"2.5";"7.7";"3077";"21.4";"4.8"
"Overijssel (PV)";"1998 3rd quarter";"52.4";"3.2";"10.6";"3171";"3.1";"-7.1"
"Overijssel (PV)";"1998 4th quarter";"54.7";"4.4";"11.7";"3459";"9.1";"-2.6"
"Overijssel (PV)";"1998";"51.8";"9.7";"9.7";"12242";"2.4";"2.4"
"Overijssel (PV)";"1999 1st quarter";"56.4";"3.2";"14.0";"2654";"-23.3";"4.7"
"Overijssel (PV)";"1999 2nd quarter";"58.8";"4.2";"15.9";"3266";"23.1";"6.1"
"Overijssel (PV)";"1999 3rd quarter";"61.9";"5.2";"18.1";"3608";"10.5";"13.8"
"Overijssel (PV)";"1999 4th quarter";"63.7";"3.0";"16.5";"3620";"0.3";"4.7"
"Overijssel (PV)";"1999";"60.2";"16.2";"16.2";"13148";"7.4";"7.4"
"Overijssel (PV)";"2000 1st quarter";"68.0";"6.6";"20.4";"2329";"-35.7";"-12.2"
"Overijssel (PV)";"2000 2nd quarter";"70.9";"4.4";"20.6";"2717";"16.7";"-16.8"
"Overijssel (PV)";"2000 3rd quarter";"73.7";"3.9";"19.1";"2889";"6.3";"-19.9"
"Overijssel (PV)";"2000 4th quarter";"75.7";"2.7";"18.7";"3100";"7.3";"-14.4"
"Overijssel (PV)";"2000";"72.1";"19.7";"19.7";"11035";"-16.1";"-16.1"
"Overijssel (PV)";"2001 1st quarter";"77.6";"2.6";"14.2";"2393";"-22.8";"2.7"
"Overijssel (PV)";"2001 2nd quarter";"80.0";"3.0";"12.7";"2891";"20.8";"6.4"
"Overijssel (PV)";"2001 3rd quarter";"83.1";"3.9";"12.7";"3117";"7.8";"7.9"
"Overijssel (PV)";"2001 4th quarter";"82.5";"-0.7";"8.9";"3502";"12.4";"13.0"
"Overijssel (PV)";"2001";"80.8";"12.1";"12.1";"11903";"7.9";"7.9"
"Overijssel (PV)";"2002 1st quarter";"84.5";"2.5";"8.9";"2880";"-17.8";"20.4"
"Overijssel (PV)";"2002 2nd quarter";"85.2";"0.9";"6.6";"3099";"7.6";"7.2"
"Overijssel (PV)";"2002 3rd quarter";"87.8";"3.0";"5.7";"3225";"4.1";"3.5"
"Overijssel (PV)";"2002 4th quarter";"87.0";"-0.9";"5.5";"3395";"5.3";"-3.1"
"Overijssel (PV)";"2002";"86.1";"6.6";"6.6";"12599";"5.8";"5.8"
"Overijssel (PV)";"2003 1st quarter";"87.7";"0.8";"3.7";"2594";"-23.6";"-9.9"
"Overijssel (PV)";"2003 2nd quarter";"88.7";"1.2";"4.1";"3048";"17.5";"-1.6"
"Overijssel (PV)";"2003 3rd quarter";"89.4";"0.7";"1.8";"3159";"3.6";"-2.0"
"Overijssel (PV)";"2003 4th quarter";"91.2";"2.0";"4.8";"3617";"14.5";"6.5"
"Overijssel (PV)";"2003";"89.2";"3.6";"3.6";"12418";"-1.4";"-1.4"
"Overijssel (PV)";"2004 1st quarter";"91.8";"0.7";"4.7";"2414";"-33.3";"-6.9"
"Overijssel (PV)";"2004 2nd quarter";"93.0";"1.3";"4.8";"2997";"24.2";"-1.7"
"Overijssel (PV)";"2004 3rd quarter";"93.8";"0.8";"4.9";"3116";"4.0";"-1.4"
"Overijssel (PV)";"2004 4th quarter";"94.3";"0.6";"3.5";"3479";"11.7";"-3.8"
"Overijssel (PV)";"2004";"93.2";"4.5";"4.5";"12006";"-3.3";"-3.3"
"Overijssel (PV)";"2005 1st quarter";"94.4";"0.1";"2.9";"2758";"-20.7";"14.3"
"Overijssel (PV)";"2005 2nd quarter";"96.1";"1.8";"3.3";"3239";"17.4";"8.1"
"Overijssel (PV)";"2005 3rd quarter";"97.2";"1.2";"3.7";"3414";"5.4";"9.6"
"Overijssel (PV)";"2005 4th quarter";"98.4";"1.2";"4.3";"3432";"0.5";"-1.4"
"Overijssel (PV)";"2005";"96.5";"3.6";"3.6";"12843";"7.0";"7.0"
"Overijssel (PV)";"2006 1st quarter";"99.6";"1.2";"5.5";"2940";"-14.3";"6.6"
"Overijssel (PV)";"2006 2nd quarter";"100.8";"1.2";"5.0";"3196";"8.7";"-1.3"
"Overijssel (PV)";"2006 3rd quarter";"101.2";"0.4";"4.1";"3285";"2.8";"-3.8"
"Overijssel (PV)";"2006 4th quarter";"101.5";"0.3";"3.1";"3308";"0.7";"-3.6"
"Overijssel (PV)";"2006";"100.8";"4.4";"4.4";"12729";"-0.9";"-0.9"
"Overijssel (PV)";"2007 1st quarter";"102.2";"0.7";"2.6";"2606";"-21.2";"-11.4"
"Overijssel (PV)";"2007 2nd quarter";"103.0";"0.8";"2.1";"3118";"19.6";"-2.4"
"Overijssel (PV)";"2007 3rd quarter";"103.6";"0.6";"2.3";"3156";"1.2";"-3.9"
"Overijssel (PV)";"2007 4th quarter";"103.1";"-0.5";"1.6";"3344";"6.0";"1.1"
"Overijssel (PV)";"2007";"103.0";"2.1";"2.1";"12224";"-4.0";"-4.0"
"Overijssel (PV)";"2008 1st quarter";"105.2";"2.1";"3.0";"2553";"-23.7";"-2.0"
"Overijssel (PV)";"2008 2nd quarter";"104.8";"-0.4";"1.8";"2962";"16.0";"-5.0"
"Overijssel (PV)";"2008 3rd quarter";"105.8";"0.9";"2.1";"2927";"-1.2";"-7.3"
"Overijssel (PV)";"2008 4th quarter";"104.3";"-1.4";"1.2";"2824";"-3.5";"-15.6"
"Overijssel (PV)";"2008";"105.0";"2.0";"2.0";"11266";"-7.8";"-7.8"
"Overijssel (PV)";"2009 1st quarter";"104.6";"0.3";"-0.6";"1622";"-42.6";"-36.5"
"Overijssel (PV)";"2009 2nd quarter";"101.9";"-2.5";"-2.7";"1817";"12.0";"-38.7"
"Overijssel (PV)";"2009 3rd quarter";"101.0";"-0.9";"-4.5";"2107";"16.0";"-28.0"
"Overijssel (PV)";"2009 4th quarter";"100.4";"-0.7";"-3.8";"2307";"9.5";"-18.3"
