"House Price Index by region; existing own homes; 2010 = 100 1995-2017"
"";"Subjects";"Price index purchase prices";"Price index purchase prices";"Price index purchase prices";"Number of sold dwellings";"Number of sold dwellings";"Number of sold dwellings"
"";"Subjects";"Price index of existing own homes";"Changes compared to one period earlier";"Changes compared to one year earlier";"Number of dwellings sold";"Changes compared to one period earlier";"Changes compared to one year earlier"
"Regions";"Periods";"2010 = 100";"%";"%";"number";"%";"%"
"Nederland";"2008 1st quarter";"105.4";"1.2";"4.4";"40971";"-24.9";"-9.5"
"Nederland";"2008 2nd quarter";"105.5";"0.1";"3.2";"48014";"17.2";"-4.8"
"Nederland";"2008 3rd quarter";"106.7";"1.1";"2.8";"48440";"0.9";"-7.1"
"Nederland";"2008 4th quarter";"105.9";"-0.8";"1.7";"44967";"-7.2";"-17.6"
"Nederland";"2008";"105.9";"3.0";"3.0";"182392";"-9.9";"-9.9"
"Nederland";"2009 1st quarter";"105.2";"-0.7";"-0.2";"27218";"-39.5";"-33.6"
"Nederland";"2009 2nd quarter";"102.5";"-2.5";"-2.9";"30269";"11.2";"-37.0"
"Nederland";"2009 3rd quarter";"101.1";"-1.4";"-5.2";"33234";"9.8";"-31.4"
"Nederland";"2009 4th quarter";"100.3";"-0.8";"-5.3";"36811";"10.8";"-18.1"
"Nederland";"2009";"102.3";"-3.4";"-3.4";"127532";"-30.1";"-30.1"
"Nederland";"2010 1st quarter";"100.1";"-0.2";"-4.8";"27745";"-24.6";"1.9"
"Nederland";"2010 2nd quarter";"100.3";"0.1";"-2.2";"31891";"14.9";"5.4"
"Nederland";"2010 3rd quarter";"100.4";"0.1";"-0.8";"32398";"1.6";"-2.5"
"Nederland";"2010 4th quarter";"99.2";"-1.1";"-1.1";"34093";"5.2";"-7.4"
"Nederland";"2010";"100.0";"-2.2";"-2.2";"126127";"-1.1";"-1.1"
"Nederland";"2011 1st quarter";"98.7";"-0.5";"-1.5";"28358";"-16.8";"2.2"
"Nederland";"2011 2nd quarter";"98.3";"-0.4";"-2.0";"29532";"4.1";"-7.4"
"Nederland";"2011 3rd quarter";"97.5";"-0.8";"-2.8";"30769";"4.2";"-5.0"
"Nederland";"2011 4th quarter";"95.8";"-1.7";"-3.4";"32080";"4.3";"-5.9"
"Nederland";"2011";"97.6";"-2.4";"-2.4";"120739";"-4.3";"-4.3"
"Nederland";"2012 1st quarter";"94.6";"-1.3";"-4.1";"23951";"-25.3";"-15.5"
"Nederland";"2012 2nd quarter";"92.8";"-1.9";"-5.5";"34628";"44.6";"17.3"
"Nederland";"2012 3rd quarter";"89.1";"-3.9";"-8.6";"22978";"-33.6";"-25.3"
"Nederland";"2012 4th quarter";"88.5";"-0.7";"-7.6";"35704";"55.4";"11.3"
"Nederland";"2012";"91.3";"-6.5";"-6.5";"117261";"-2.9";"-2.9"
"Nederland";"2013 1st quarter";"86.5";"-2.3";"-8.6";"23090";"-35.3";"-3.6"
"Nederland";"2013 2nd quarter";"84.7";"-2.0";"-8.7";"22111";"-4.2";"-36.1"
"Nederland";"2013 3rd quarter";"85.1";"0.4";"-4.6";"28925";"30.8";"25.9"
"Nederland";"2013 4th quarter";"84.8";"-0.4";"-4.3";"35968";"24.3";"0.7"
"Nederland";"2013";"85.3";"-6.6";"-6.6";"110094";"-6.1";"-6.1"
"Nederland";"2014 1st quarter";"85.2";"0.6";"-1.5";"28963";"-19.5";"25.4"
"Nederland";"2014 2nd quarter";"85.8";"0.6";"1.2";"34074";"17.6";"54.1"
"Nederland";"2014 3rd quarter";"86.6";"0.9";"1.8";"39160";"14.9";"35.4"
"Nederland";"2014 4th quarter";"86.6";"0.1";"2.2";"51314";"31.0";"42.7"
"Nederland";"2014";"86.1";"0.9";"0.9";"153511";"39.4";"39.4"
"Nederland";"2015 1st quarter";"87.3";"0.8";"2.4";"34527";"-32.7";"19.2"
"Nederland";"2015 2nd quarter";"87.9";"0.8";"2.5";"40722";"17.9";"19.5"
"Nederland";"2015 3rd quarter";"89.1";"1.3";"2.9";"50609";"24.3";"29.2"
"Nederland";"2015 4th quarter";"89.7";"0.6";"3.5";"52435";"3.6";"2.2"
"Nederland";"2015";"88.5";"2.8";"2.8";"178293";"16.1";"16.1"
"Nederland";"2016 1st quarter";"90.8";"1.3";"4.1";"42897";"-18.2";"24.2"
"Nederland";"2016 2nd quarter";"91.8";"1.0";"4.4";"50315";"17.3";"23.6"
"Nederland";"2016 3rd quarter";"94.1";"2.5";"5.6";"60707";"20.7";"20.0"
"Nederland";"2016 4th quarter";"95.1";"1.1";"6.1";"60874";"0.3";"16.1"
"Nederland";"2016";"93.0";"5.0";"5.0";"214793";"20.5";"20.5"
"Nederland";"2017 1st quarter";"97.0";"2.0";"6.8";"55911";"-8.2";"30.3"
"Nederland";"2017 2nd quarter";"98.9";"1.9";"7.7";"58370";"4.4";"16.0"
"Nederland";"2017 3rd quarter";"101.2";"2.4";"7.6";"61391";"5.2";"1.1"
"Nederland";"2017 4th quarter";"102.9";"1.7";"8.2";"66188";"7.8";"8.7"
"Nederland";"2017";"100.0";"7.6";"7.6";"241860";"12.6";"12.6"
"Groningen (PV)";"1995 1st quarter";"37.4";" ";" ";"1000";" ";" "
"Groningen (PV)";"1995 2nd quarter";"37.5";"0.1";" ";"1224";"22.4";" "
"Groningen (PV)";"1995 3rd quarter";"38.5";"2.8";" ";"1487";"21.5";" "
"Groningen (PV)";"1995 4th quarter";"38.9";"0.9";" ";"1801";"21.1";" "
"Groningen (PV)";"1995";"38.1";" ";" ";"5512";" ";" "
"Groningen (PV)";"1996 1st quarter";"40.0";"2.8";"6.8";"1355";"-24.8";"35.5"
"Groningen (PV)";"1996 2nd quarter";"41.2";"3.0";"9.9";"1652";"21.9";"35.0"
"Groningen (PV)";"1996 3rd quarter";"42.1";"2.3";"9.4";"1780";"7.7";"19.7"
"Groningen (PV)";"1996 4th quarter";"43.0";"1.9";"10.5";"1934";"8.7";"7.4"
"Groningen (PV)";"1996";"41.6";"9.2";"9.2";"6721";"21.9";"21.9"
"Groningen (PV)";"1997 1st quarter";"43.7";"1.8";"9.4";"1315";"-32.0";"-3.0"
"Groningen (PV)";"1997 2nd quarter";"44.4";"1.5";"7.8";"1891";"43.8";"14.5"
"Groningen (PV)";"1997 3rd quarter";"45.7";"2.9";"8.4";"1767";"-6.6";"-0.7"
"Groningen (PV)";"1997 4th quarter";"46.2";"1.1";"7.5";"1807";"2.3";"-6.6"
"Groningen (PV)";"1997";"45.0";"8.2";"8.2";"6780";"0.9";"0.9"
"Groningen (PV)";"1998 1st quarter";"47.0";"1.7";"7.4";"1300";"-28.1";"-1.1"
"Groningen (PV)";"1998 2nd quarter";"47.4";"0.9";"6.7";"1741";"33.9";"-7.9"
"Groningen (PV)";"1998 3rd quarter";"48.8";"3.0";"6.9";"1878";"7.9";"6.3"
